LSOA11CD,GridE100_mean,GridN100_mean,Count,Need_Mid,Need_High
E01028504,"436,059.58","238,304.91",67,0,0
E01028505,"449,987.34","225,254.50",56,0,0
E01028506,"451,297.21","229,263.76",87,0,0
E01028507,"446,963.83","227,595.86",59,0,0
E01028508,"438,857.52","243,733.73",48,0,0
E01028509,"440,734.63","241,743.05",73,0,0
E01028510,"446,520.00","215,155.00",2,0,0
E01028598,"473,443.16","200,158.10",73,0,0
E01028599,"461,759.68","191,779.56",41,0,0
E01028600,"462,221.43","192,570.32",37,0,0
E01028601,"464,479.21","191,922.66",67,0,0
E01028602,"463,552.07","191,042.26",27,0,0
E01028603,"460,244.83","197,779.76",72,0,0
E01028604,"457,522.70","196,387.39",23,0,0
E01028605,"457,273.02","195,861.95",42,0,0
E01028606,"458,905.30","193,657.58",77,0,0
E01028607,"456,531.04","192,791.30",54,0,0
E01028608,"458,252.04","190,939.83",48,0,0
E01028609,"463,938.70","196,759.30",27,0,0
E01028610,"463,525.45","197,212.55",38,0,0
E01028611,"466,858.33","185,089.33",3,0,0
E01028613,"475,173.38","200,800.69",29,0,0
E01028614,"475,533.13","200,219.09",46,0,0
E01028615,"475,746.41","201,411.49",51,0,0
E01028616,"475,124.63","201,060.74",27,0,0
E01028617,"460,283.54","188,686.54",67,0,0
E01028618,"458,882.17","185,397.45",64,0,0
E01028619,"458,809.51","186,361.49",37,0,0
E01028620,"462,855.70","187,550.09",92,0,0
E01028621,"451,640.68","190,724.55",31,1,0
E01028622,"451,508.56","190,334.04",27,0,0
E01028623,"452,434.10","190,266.47",49,0,0
E01028624,"451,537.49","189,960.31",35,0,0
E01028625,"452,787.37","190,830.19",27,0,0
E01028626,"452,665.38","191,426.50",24,0,0
E01028627,"453,255.20","190,988.20",30,0,0
E01028628,"453,649.76","190,753.89",38,0,0
E01028629,"453,389.36","190,394.68",22,0,0
E01028630,"453,599.83","189,529.04",24,0,0
E01028631,"452,982.70","189,825.03",33,0,0
E01028632,"452,658.85","189,649.09",33,0,0
E01028633,"453,384.44","189,781.04",27,0,0
E01028634,"451,893.18","189,046.82",28,0,0
E01028635,"452,407.19","189,107.69",26,0,0
E01028636,"452,164.52","189,602.85",27,0,0
E01028637,"451,564.78","189,447.74",27,0,0
E01028638,"457,790.83","209,546.63",24,0,0
E01028639,"459,217.98","206,950.16",44,0,0
E01028640,"458,963.61","202,754.15",61,0,0
E01028641,"457,015.64","201,089.19",42,0,0
E01028644,"460,989.60","184,864.60",5,0,0
E01028646,"463,220.69","202,666.22",54,0,0
E01028647,"463,142.68","203,193.58",40,0,0
E01028648,"452,158.52","188,279.03",31,0,0
E01028649,"455,265.21","187,629.85",66,0,0
E01028658,"453,641.57","196,361.26",61,0,0
E01028674,"459,761.04","189,893.58",26,0,0
E01028675,"460,352.03","190,122.82",38,0,0
E01028676,"460,218.90","189,609.68",41,0,0
E01028677,"460,683.65","189,329.34",71,0,0
E01028678,"470,306.39","192,294.48",23,0,0
E01028679,"469,310.80","195,808.89",91,0,0
E01028680,"468,626.17","194,522.46",59,0,0
E01028681,"459,047.78","205,703.33",27,0,0
E01028682,"460,206.94","205,514.85",33,0,0
E01028683,"457,587.19","204,889.24",37,0,0
E01028684,"459,604.25","205,662.82",28,0,0
E01028688,"450,642.36","197,603.82",22,0,0
E01028689,"451,040.64","197,798.11",28,0,0
E01028690,"449,484.72","195,946.97",29,0,0
E01028691,"448,856.93","196,025.87",30,0,0
E01028692,"449,224.29","196,224.38",21,1,1
E01028693,"450,231.28","199,020.72",25,0,0
E01028694,"449,808.05","199,052.00",19,0,0
E01028695,"449,625.74","198,583.61",31,0,0
E01028696,"449,281.26","197,573.14",35,0,0
E01028697,"449,108.60","198,143.57",30,0,0
E01028698,"448,746.62","197,268.23",39,0,0
E01028699,"450,338.05","198,065.95",42,0,0
E01028700,"449,764.22","198,021.43",37,0,0
E01028701,"450,562.88","198,767.50",32,0,0
E01028702,"448,446.27","196,404.36",22,0,0
E01028703,"449,028.72","196,864.89",36,0,0
E01028704,"449,312.23","196,632.27",44,0,0
E01028705,"451,290.04","198,418.75",24,0,0
E01028706,"450,918.80","198,434.70",20,0,0
E01028707,"450,936.54","198,885.00",41,0,0
E01028708,"444,310.14","208,126.00",7,0,0
E01028711,"444,046.04","201,533.21",24,0,0
E01028712,"452,623.23","185,989.86",77,0,0
E01028713,"433,383.00","187,622.91",34,0,0
